Date,Open,High,Low,Close,Adj Close,Volume
2022-06-28,263.980011,266.910004,256.320007,256.480011,252.052841,27295500
2022-06-29,257.589996,261.970001,255.759995,260.260010,255.767593,20069800
2022-06-30,257.049988,259.529999,252.899994,256.829987,252.396774,31730900
2022-07-01,256.390015,259.769989,254.610001,259.579987,255.099304,22837700
2022-07-05,256.160004,262.980011,254.740005,262.850006,258.312866,22941000
2022-07-06,263.750000,267.989990,262.399994,266.209991,261.614899,23824400
2022-07-07,265.119995,269.059998,265.019989,268.399994,263.767090,20859900
2022-07-08,264.790009,268.100006,263.290009,267.660004,263.039825,19658800
2022-07-11,265.649994,266.529999,262.179993,264.510010,259.944244,19455200
2022-07-12,265.880005,265.940002,252.039993,253.669998,249.291321,35868500
2022-07-13,250.190002,253.550003,248.110001,252.720001,248.357712,29497400
2022-07-14,250.570007,255.139999,245.940002,254.080002,249.694260,25102800
2022-07-15,255.720001,260.369995,254.770004,256.720001,252.288681,29774100
2022-07-18,259.750000,260.839996,253.300003,254.250000,249.861328,20975000
2022-07-19,257.579987,259.720001,253.679993,259.529999,255.050156,25012600
2022-07-20,259.899994,264.869995,258.910004,262.269989,257.742889,22788300
2022-07-21,259.790009,264.890015,257.029999,264.839996,260.268494,22404700
2022-07-22,265.239990,265.329987,259.070007,260.359985,255.865875,21881300
2022-07-25,261.000000,261.500000,256.809998,258.829987,254.362198,21056000
2022-07-26,259.859985,259.880005,249.570007,251.899994,247.551849,39348000
2022-07-27,261.160004,270.049988,258.850006,268.739990,264.101166,45994000
2022-07-28,269.750000,277.839996,267.869995,276.410004,271.638824,33459300
2022-07-29,277.700012,282.000000,276.630005,280.739990,275.894012,32152800
2022-08-01,277.820007,281.279999,275.839996,278.010010,273.211121,21539600
2022-08-02,276.000000,277.890015,272.380005,274.820007,270.076263,22754200
2022-08-03,276.760010,283.500000,276.609985,282.470001,277.594177,23518900
2022-08-04,281.799988,283.799988,280.170013,283.649994,278.753815,18098700
2022-08-05,279.149994,283.649994,278.679993,282.910004,278.026611,16774600
2022-08-08,284.049988,285.920013,279.320007,280.320007,275.481323,18739200
2022-08-09,279.640015,283.079987,277.609985,282.299988,277.427094,23405200
2022-08-10,288.170013,289.809998,286.940002,289.160004,284.168671,24687800
2022-08-11,290.850006,291.209991,286.510010,287.019989,282.065643,20065900
2022-08-12,288.480011,291.910004,286.940002,291.910004,286.871246,22619700
2022-08-15,291.000000,294.179993,290.109985,293.470001,288.404266,18085700
2022-08-16,291.989990,294.040009,290.420013,292.709991,287.657410,18102900
2022-08-17,289.739990,293.350006,289.470001,291.320007,286.899109,18253400
2022-08-18,290.190002,291.910004,289.079987,290.170013,285.766571,17186200
2022-08-19,288.899994,289.250000,285.559998,286.149994,281.807556,20570000
2022-08-22,282.079987,282.459991,277.220001,277.750000,273.535065,25061100
2022-08-23,276.440002,278.859985,275.399994,276.440002,272.244904,17527400
2022-08-24,275.410004,277.230011,275.109985,275.790009,271.604828,18137000
2022-08-25,277.329987,279.019989,274.519989,278.850006,274.618378,16583400
2022-08-26,279.079987,280.339996,267.980011,268.089996,264.021667,27549300
2022-08-29,265.850006,267.399994,263.850006,265.230011,261.205048,20338500
2022-08-30,266.670013,267.049988,260.660004,262.970001,258.979340,22767100
2022-08-31,265.390015,267.109985,261.329987,261.470001,257.502075,24791800
2022-09-01,258.869995,260.890015,255.410004,260.399994,256.448334,23263400
2022-09-02,261.700012,264.739990,254.470001,256.059998,252.174210,22855400
2022-09-06,256.200012,257.829987,251.940002,253.250000,249.406845,21328200
2022-09-07,254.699997,258.829987,253.220001,258.089996,254.173416,24126700
2022-09-08,257.510010,260.429993,254.789993,258.519989,254.596878,20319900
2022-09-09,260.500000,265.230011,260.290009,264.459991,260.446686,22084700
2022-09-12,265.779999,267.450012,265.160004,266.649994,262.603485,18747700
2022-09-13,258.839996,260.399994,251.589996,251.990005,248.165970,33353300
2022-09-14,253.529999,254.229996,249.860001,252.220001,248.392487,23913000
2022-09-15,249.770004,251.399994,244.020004,245.380005,241.656281,31530900
2022-09-16,244.259995,245.300003,242.059998,244.740005,241.026016,39791800
2022-09-19,242.470001,245.139999,240.850006,244.520004,240.809341,26826900
2022-09-20,242.070007,243.509995,239.639999,242.449997,238.770767,26660300
2022-09-21,244.270004,247.660004,238.899994,238.949997,235.323853,28625600
2022-09-22,237.869995,243.860001,237.570007,240.979996,237.323029,31061200
2022-09-23,239.539993,241.130005,235.199997,237.919998,234.309479,34176000
2022-09-26,237.050003,241.449997,236.899994,237.449997,233.846619,27694200
2022-09-27,239.979996,241.800003,234.500000,236.410004,232.822403,27018700
2022-09-28,236.809998,242.330002,234.729996,241.070007,237.411713,29029700
2022-09-29,238.889999,239.949997,234.410004,237.500000,233.895859,27484200
2022-09-30,238.289993,240.539993,232.729996,232.899994,229.365677,35694800
2022-10-03,235.410004,241.610001,234.660004,240.740005,237.086670,28880400
2022-10-04,245.089996,250.360001,244.979996,248.880005,245.103165,34888400
2022-10-05,245.990005,250.580002,244.100006,249.199997,245.418289,20347100
2022-10-06,247.929993,250.339996,246.080002,246.789993,243.044876,20239900
2022-10-07,240.899994,241.320007,233.169998,234.240005,230.685318,37769600
2022-10-10,233.050003,234.559998,226.729996,229.250000,225.771042,29743600
2022-10-11,227.619995,229.059998,224.110001,225.410004,221.989319,30474000
2022-10-12,225.399994,227.860001,223.960007,225.750000,222.324173,21903900
2022-10-13,219.850006,236.100006,219.130005,234.240005,230.685318,42551800
2022-10-14,235.539993,237.240005,228.339996,228.559998,225.091537,30198600
2022-10-17,235.820007,238.960007,235.139999,237.529999,233.925415,28142300
2022-10-18,243.240005,243.929993,235.369995,238.500000,234.880692,26329600
2022-10-19,237.039993,239.610001,234.289993,236.479996,232.891327,19985700
2022-10-20,235.770004,241.309998,234.869995,236.149994,232.566330,21811000
2022-10-21,234.740005,243.000000,234.500000,242.119995,238.445740,26299700
2022-10-24,243.759995,247.839996,241.300003,247.250000,243.497910,24911200
2022-10-25,247.259995,251.039993,245.830002,250.660004,246.856140,34775500
2022-10-26,231.169998,238.300003,230.059998,231.320007,227.809631,82543200
2022-10-27,231.039993,233.690002,225.779999,226.750000,223.309006,40424600
2022-10-28,226.240005,236.600006,226.050003,235.869995,232.290573,40647700
2022-10-31,233.759995,234.919998,231.149994,232.130005,228.607346,28357300
2022-11-01,234.600006,235.740005,227.330002,228.169998,224.707443,30592300
2022-11-02,229.460007,231.300003,220.039993,220.100006,216.759933,38407000
2022-11-03,220.089996,220.410004,213.979996,214.250000,210.998657,36633900
2022-11-04,217.550003,221.589996,213.429993,221.389999,218.030319,36789100
2022-11-07,221.990005,228.410004,221.279999,227.869995,224.411987,33498000
2022-11-08,228.699997,231.649994,225.839996,228.869995,225.396820,28192500
2022-11-09,227.369995,228.630005,224.330002,224.509995,221.102966,27852900
2022-11-10,235.429993,243.330002,235.000000,242.979996,239.292694,46268000
2022-11-11,242.990005,247.990005,241.929993,247.110001,243.360016,34620200
2022-11-14,241.990005,243.910004,239.210007,241.550003,237.884399,31123300
2022-11-15,245.660004,247.000000,240.029999,241.970001,238.298019,31390100
2022-11-16,242.789993,243.800003,240.419998,241.729996,238.732559,24093300
2022-11-17,237.779999,243.250000,237.630005,241.679993,238.683182,23123500
2022-11-18,243.509995,243.740005,239.029999,241.220001,238.228882,27613500
2022-11-21,241.429993,244.669998,241.190002,242.050003,239.048599,26394700
2022-11-22,243.589996,245.309998,240.710007,245.029999,241.991638,19665700
